internal_vendor_id,vendor_name_raw,vendor_name_normalized,total_received_amount,total_transaction_count,unique_mps_served,unique_states_served,primary_state,primary_activity,source_dataset,source_file,source_download_date,pipeline_created_at
INTERNAL_VND_01903,RANA CONTRACTOR AND SUPPLIER,RANA CONTRACTOR AND SUPPLIER,2390367.0,5,1,1,UTTAR PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01904,HARSHA CONSTRUCTIONS,HARSHA CONSTRUCTIONS,2390200.0,2,1,1,KARNATAKA,Installing community drinking water plants,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01905,ARCHITECTURAL ENGINEERING CONSTRUCTION COMPANY,ARCHITECTURAL ENGINEERING CONSTRUCTION COMPANY,2386402.0,1,1,1,WEST BENGAL,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01906,SUNDHA MATA CONSTRUCTION,SUNDHA MATA CONSTRUCTION,2384180.0,3,1,1,RAJASTHAN,Development of playground,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01907,Ahmed Meera Mohiddin,AHMED MEERA MOHIDDIN,2384027.0,1,1,1,ANDHRA PRADESH,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01908,MOHD ASSIF,MOHD ASSIF,2382974.0,12,1,1,UTTARAKHAND,Construction of public libraries and reading rooms,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01909,KINJARAPU RAMESHBABU,KINJARAPU RAMESHBABU,2381030.0,2,1,1,ANDHRA PRADESH,Improvement of electricity distribution infrastructure,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01910,ASSISTANT ENGINEER NDZP,ASSISTANT ENGINEER NDZP,2380420.0,2,1,1,SIKKIM,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01911,GOTTUMUKKALA SURYA NARAYANA RAJU,GOTTUMUKKALA SURYA NARAYANA RAJU,2380388.0,5,1,1,ANDHRA PRADESH,Construction of culverts and bridges,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01912,SURESH KUMAR K,SURESH KUMAR K,2380358.0,4,2,1,KERALA,"Construction of roads, link roads, pathways or any other road with or without drainage system",DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
INTERNAL_VND_01913,DHAMMAREDDY PRADEEP,DHAMMAREDDY PRADEEP,2379524.0,7,1,1,TELANGANA,Construction of community centers and community halls,DERIVED_FROM_EXPENDITURES,mplads_expenditures_2026-08-26.csv,2026-08-26,2026-08-26T10:39:19.918730+00:00
